,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
0,Tata,Nano Genx,Xt,"2,92,667",RWD ,BS IV,24 litres,Petrol,3164 mm,Hatchback,5,23.6 km/litre,4,Manual,,
1,Tata,Nano Genx,Xe,"2,92,667",RWD ,BS IV,24 litres,Petrol,3164 mm,Hatchback,5,23.6 km/litre,4,Manual,,
2,Tata,Nano Genx,Emax Xm,"2,92,667",RWD ,BS IV,15 litres,CNG,3164 mm,Hatchback,4,#REF!,4,Manual,,
3,Tata,Nano Genx,Xta,"2,92,667",RWD ,BS IV,24 litres,Petrol,3164 mm,Hatchback,5,21.9 km/litre,4,Automatic,,
4,Tata,Nano Genx,Xm,"2,92,667",RWD ,BS IV,24 litres,Petrol,3164 mm,Hatchback,5,23.6 km/litre,4,Manual,,
5,Tata,Nano Genx,Xma,"2,92,667",RWD ,BS IV,24 litres,Petrol,3164 mm,Hatchback,5,21.9 km/litre,4,Automatic,,
6,Datsun,Redi-Go,D,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,25.17 km/litre,5,Manual,,
7,Datsun,Redi-Go,T,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,25.17 km/litre,5,Manual,,
8,Datsun,Redi-Go,A,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,25.17 km/litre,5,Manual,,
9,Datsun,Redi-Go,S,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,25.17 km/litre,5,Manual,,
10,Datsun,Redi-Go,1.0 S,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,22.5 km/litre,5,Manual,,
